Year,Sex,Name,Count
2023,NA,?io,10
2020,NA,?ria,10
2023,NA,?ria,10
2022,NA,Aadhya,13
1997,NA,Aaliyah,10
1998,NA,Aaliyah,22
1999,NA,Aaliyah,24
2000,NA,Aaliyah,26
2001,NA,Aaliyah,54
2002,NA,Aaliyah,81
2003,NA,Aaliyah,60
2004,NA,Aaliyah,37
2005,NA,Aaliyah,66
2006,NA,Aaliyah,70
2007,NA,Aaliyah,61
2008,NA,Aaliyah,73
2009,NA,Aaliyah,63
2010,NA,Aaliyah,73
2011,NA,Aaliyah,62
2012,NA,Aaliyah,71
2013,NA,Aaliyah,67
2014,NA,Aaliyah,75
2015,NA,Aaliyah,56
2016,NA,Aaliyah,71
2017,NA,Aaliyah,56
2018,NA,Aaliyah,47
2019,NA,Aaliyah,53
2020,NA,Aaliyah,39
2021,NA,Aaliyah,42
2022,NA,Aaliyah,53
2023,NA,Aaliyah,60
2022,NA,Aanya,13
2009,NA,Aarav,10
2010,NA,Aarav,19
2011,NA,Aarav,14
2012,NA,Aarav,18
2013,NA,Aarav,24
2014,NA,Aarav,27
2015,NA,Aarav,31
2016,NA,Aarav,23
2017,NA,Aarav,25
2018,NA,Aarav,24
2019,NA,Aarav,33
2020,NA,Aarav,25
2021,NA,Aarav,27
2022,NA,Aarav,25
2023,NA,Aarav,19
2018,NA,Aaria,16
2019,NA,Aaria,12
2020,NA,Aaria,13
2015,NA,Aarohi,10
1960,NA,Aaron,16
1961,NA,Aaron,20
1962,NA,Aaron,25
1963,NA,Aaron,24
1964,NA,Aaron,21
1965,NA,Aaron,52
1966,NA,Aaron,99
1967,NA,Aaron,101
1968,NA,Aaron,161
1969,NA,Aaron,165
1970,NA,Aaron,268
1971,NA,Aaron,569
1972,NA,Aaron,612
1973,NA,Aaron,521
1974,NA,Aaron,463
1975,NA,Aaron,375
1976,NA,Aaron,373
1977,NA,Aaron,327
1978,NA,Aaron,363
1979,NA,Aaron,314
1980,NA,Aaron,289
1981,NA,Aaron,283
1982,NA,Aaron,270
1983,NA,Aaron,295
1984,NA,Aaron,240
1985,NA,Aaron,238
1986,NA,Aaron,244
1987,NA,Aaron,223
1988,NA,Aaron,253
1989,NA,Aaron,249
1990,NA,Aaron,218
1991,NA,Aaron,210
1992,NA,Aaron,221
1993,NA,Aaron,202
1994,NA,Aaron,197
1995,NA,Aaron,156
1996,NA,Aaron,129
1997,NA,Aaron,120
1998,NA,Aaron,87
1999,NA,Aaron,93
2000,NA,Aaron,85
2001,NA,Aaron,63
2002,NA,Aaron,52
2003,NA,Aaron,76
2004,NA,Aaron,73
2005,NA,Aaron,79
2006,NA,Aaron,68
2007,NA,Aaron,70
2008,NA,Aaron,77
2009,NA,Aaron,54
2010,NA,Aaron,75
2011,NA,Aaron,45
2012,NA,Aaron,51
2013,NA,Aaron,55
2014,NA,Aaron,62
2015,NA,Aaron,66
2016,NA,Aaron,62
2017,NA,Aaron,44
2018,NA,Aaron,33
2019,NA,Aaron,46
2020,NA,Aaron,35
2021,NA,Aaron,42
2022,NA,Aaron,30
2023,NA,Aaron,37
2012,NA,Aarush,11
2021,NA,Aarya,11
2022,NA,Aarya,13
2010,NA,Aaryan,10
2016,NA,Aaryan,15
2022,NA,Aavya,10
1977,NA,Abbey,10
1980,NA,Abbey,15
1981,NA,Abbey,13
1982,NA,Abbey,15
1983,NA,Abbey,20
1984,NA,Abbey,12
1985,NA,Abbey,13
1986,NA,Abbey,10
1987,NA,Abbey,21
1988,NA,Abbey,21
1989,NA,Abbey,16
1990,NA,Abbey,30
1991,NA,Abbey,24
1992,NA,Abbey,31
1993,NA,Abbey,18
1994,NA,Abbey,31
1995,NA,Abbey,39
1996,NA,Abbey,22
1997,NA,Abbey,38
1998,NA,Abbey,38
1999,NA,Abbey,42
2000,NA,Abbey,32
2001,NA,Abbey,40
2002,NA,Abbey,29
2003,NA,Abbey,41
2004,NA,Abbey,27
2005,NA,Abbey,28
2006,NA,Abbey,22
2007,NA,Abbey,22
2009,NA,Abbey,14
2010,NA,Abbey,17
2011,NA,Abbey,15
2012,NA,Abbey,13
1977,NA,Abbie,14
1978,NA,Abbie,11
1979,NA,Abbie,16
1980,NA,Abbie,10
1981,NA,Abbie,13
