"Live births (by sex), stillbirths (Maori and total population) (Annual-Dec)",,,
,"Live births, male","Live births, female",Live births
,Total,Total,Total
1935,..,..,"27,150"
1936,..,..,"28,395"
1937,..,..,"29,895"
1938,..,..,"30,846"
1939,..,..,"32,871"
1940,..,..,"36,945"
1941,..,..,"39,171"
1942,..,..,"37,818"
1943,..,..,"34,686"
1944,..,..,"38,037"
1945,..,..,"41,535"
1946,..,..,"47,523"
1947,..,..,"49,698"
1948,..,..,"49,062"
1949,..,..,"48,843"
1950,..,..,"49,332"
1951,..,..,"49,806"
1952,..,..,"51,846"
1953,..,..,"51,888"
1954,..,..,"54,057"
1955,..,..,"55,596"
1956,..,..,"56,532"
1957,..,..,"58,425"
1958,..,..,"60,558"
1959,..,..,"61,800"
1960,..,..,"62,778"
1961,..,..,"65,391"
1962,..,..,"65,013"
1963,..,..,"64,527"
1964,..,..,"62,304"
1965,..,..,"60,045"
1966,..,..,"60,003"
1967,..,..,"61,023"
1968,..,..,"62,112"
1969,..,..,"62,361"
1970,..,..,"62,052"
1971,"32,997","31,464","64,458"
1972,"32,289","30,927","63,216"
1973,"31,095","29,628","60,729"
1974,"30,510","28,824","59,334"
1975,"28,875","27,765","56,640"
1976,"28,542","26,559","55,104"
1977,"27,786","26,391","54,180"
1978,"26,064","24,966","51,030"
1979,"26,670","25,608","52,278"
1980,"25,938","24,606","50,541"
1981,"26,127","24,666","50,793"
1982,"25,698","24,240","49,938"
1983,"25,878","24,600","50,475"
1984,"26,493","25,143","51,636"
1985,"26,559","25,242","51,798"
1986,"26,898","25,923","52,821"
1987,"28,593","26,661","55,254"
1988,"29,511","28,035","57,546"
1989,"29,658","28,434","58,092"
1990,"30,708","29,445","60,153"
1991,"30,825","29,085","59,913"
1992,"30,726","28,440","59,166"
1993,"30,312","28,467","58,782"
1994,"29,409","27,912","57,321"
1995,"29,877","27,792","57,672"
1996,"29,460","27,819","57,282"
1997,"29,430","28,173","57,603"
1998,"28,584","26,766","55,350"
1999,"29,184","27,870","57,051"
2000,"29,157","27,447","56,604"
2001,"28,332","27,465","55,800"
2002,"27,579","26,445","54,021"
2003,"28,818","27,315","56,136"
2004,"29,742","28,329","58,074"
2005,"29,544","28,200","57,744"
2006,"30,240","28,953","59,193"
2007,"33,012","31,032","64,044"
2008,"33,102","31,242","64,341"
2009,"32,112","30,432","62,541"
2010,"32,904","30,993","63,897"
2011,"31,476","29,928","61,404"
2012,"31,242","29,934","61,179"
2013,"30,141","28,575","58,719"
2014,"29,595","27,648","57,243"
2015,"31,356","29,682","61,038"
2016,"30,519","28,908","59,430"
2017,"30,588","29,022","59,610"
2018,"29,709","28,308","58,020"
2019,"30,567","29,070","59,637"
2020,"29,532","28,041","57,573"
2021,"30,027","28,632","58,659"
2022,"29,925","28,959","58,887"
2023,"29,412","27,543","56,955"
Table information: ,,,
Units:,,,
"Number, Magnitude = Units",,,
,,,
Footnotes:,,,
"From September 1995, birth and death registrations collected ethnicity based on self-identification, rather than degree-of-blood.",,,
"Until 30 August 1995, a stillbirth was defined as a child born dead after 28 weeks of pregnancy. From 1 September 1995, a child is stillborn when it is dead at birth and either weighs 400g or more at birth, or is born after the 20th week of pregnancy.",,,
Births and deaths data are based on date of registration (not date of occurrence). Data before 1991 includes New Zealand residents and overseas visitors. Data from 1991 includes New Zealand residents only.,,,
"Apart from some historical data, births exclude late registrations under section 16 of the Births, Deaths, Marriages, and Relationships Registration Act 1995.",,,
"Data has been randomly rounded to protect confidentiality. Individual figures may not add up to totals, and values for the same data may vary in different tables.",,,
.. represents data that is unavailable.,,,
,,,
Symbols:,,,
.. figure not available,,,
C: Confidential,,,
E: Early Estimate,,,
P: Provisional,,,
R: Revised,,,
S: Suppressed,,,
,,,
Status flags are not displayed,,,
,,,
Table reference:,,,
VSB038AA,,,
,,,
Last updated:,,,
15 May 2024 10:45am,,,
,,,
Source: Statistics New Zealand,,,
Contact: Information Centre,,,
Telephone: 0508 525 525,,,
Email:info@stats.govt.nz,,,
,,,
,,,
